MONTH2,DAY2,STOP_WAS_INITIATED,ISSUING_OFFICER_RANK,SUPERVISING_OFFICER_RANK,JURISDICTION_DESCRIPTION,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OTHER_PERSON_STOPPED_FLAG,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,SUMMONS_ISSUED_FLAG,SUMMONS_OFFENSE_DESCRIPTION,OFFICER_IN_UNIFORM_FLAG,FRISKED_FLAG,SEARCHED_FLAG,OTHER_CONTRABAND_FLAG,WEAPON_FOUND_FLAG,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,STOP_LOCATION_BORO_NAME
January,Monday,Based on C/W on Scene,POM,SGT,PSB,0,MENACING,18,Y,N,(null),N,(null),Y,Y,N,N,N,(null),MALE,WHITE,5.1,170,MED,BRO,BLK,MANHATTAN
January,Monday,Based on Radio Run,POM,SGT,PSB,1,CPW,15,N,N,(null),N,(null),Y,Y,Y,N,N,26,MALE,BLACK HISPANIC,6.1,250,HEA,BRO,BLK,MANHATTAN
January,Monday,Based on Radio Run,POM,SGT,Housing,0,GRAND LARCENY,10,N,N,(null),N,(null),Y,Y,N,N,N,40,MALE,WHITE HISPANIC,5.5,150,THN,BRO,BLD,BRONX
January,Monday,Based on Radio Run,POM,SGT,PSB,2,ROBBERY,15,Y,Y,ROBBERY,N,(null),Y,Y,Y,N,N,38,MALE,AMERICAN INDIAN/ALASKAN NATIVE,5.1,160,MED,BRO,BLK,BROOKLYN
January,Monday,Based on Radio Run,POM,SGT,PSB,2,ROBBERY,15,Y,Y,ROBBERY,N,(null),Y,Y,Y,N,N,36,MALE,WHITE,5.11,230,MED,BRO,BLK,BROOKLYN
January,Monday,Based on Self Initiated,POM,SGT,PSB,1,UNAUTHORIZED USE OF A VEHICLE,15,N,N,(null),N,(null),Y,Y,N,Y,N,20,MALE,BLACK,5.1,150,THN,BRO,BLK,BROOKLYN
January,Monday,Based on Self Initiated,POM,SSA,PSB,1,CPW,10,Y,Y,CPW,N,(null),Y,Y,Y,Y,Y,46,MALE,BLACK,5.7,215,HEA,BRO,BLK,BROOKLYN
January,Monday,Based on Self Initiated,POM,SSA,PSB,1,CPW,10,Y,Y,CPW,N,(null),Y,Y,Y,N,Y,36,MALE,BLACK,5.8,170,XXX,BRO,BLK,BROOKLYN
January,Monday,Based on Self Initiated,POM,SSA,PSB,1,CPW,10,Y,Y,CPW,N,(null),Y,Y,Y,N,Y,29,MALE,BLACK,6.1,185,XXX,BRO,BLK,BROOKLYN
January,Monday,Based on Self Initiated,POM,SSA,PSB,1,CPW,10,Y,Y,CPW,N,(null),Y,Y,Y,N,Y,41,MALE,BLACK,6.1,190,XXX,BRO,BLK,BROOKLYN
January,Monday,Based on Self Initiated,DTS,LT,PSB,1,CPW,2,N,Y,CPW,N,(null),Y,Y,N,Y,Y,22,MALE,BLACK,6.1,220,MED,BRO,BLK,BROOKLYN
January,Monday,Based on Radio Run,POM,SGT,PSB,1,OTHER,10,Y,N,(null),N,(null),Y,N,N,N,N,53,MALE,WHITE,5.8,190,XXX,BLK,BLK,BROOKLYN
January,Monday,Based on Radio Run,POM,SGT,PSB,1,OTHER,10,Y,N,(null),N,(null),Y,N,N,N,N,17,MALE,WHITE,5.8,150,XXX,BRO,BLK,BROOKLYN
January,Monday,Based on C/W on Scene,POM,LT,(null),0,ASSAULT,5,N,N,(null),N,(null),Y,Y,N,N,N,57,FEMALE,BLACK,5.3,140,THN,BRO,BLK,BROOKLYN
January,Monday,Based on Radio Run,POM,SGT,(null),1,ASSAULT,1,N,N,(null),N,(null),Y,N,N,N,N,(null),MALE,BLACK,5.9,190,MED,BRO,XXX,BROOKLYN
January,Monday,Based on Self Initiated,POF,SGT,Housing,1,CPW,5,Y,N,(null),N,(null),Y,Y,N,N,N,18,MALE,BLACK,5.5,140,THN,BRO,BLK,BROOKLYN
January,Monday,Based on Self Initiated,POF,SGT,Housing,1,CPW,5,Y,N,(null),N,(null),Y,Y,N,N,N,(null),MALE,BLACK,5.1,120,THN,BRO,BLK,BROOKLYN
January,Monday,Based on Self Initiated,POF,SGT,Housing,1,CPW,5,Y,N,(null),N,(null),Y,Y,N,N,N,(null),MALE,BLACK,5.6,160,THN,BRO,BLK,BROOKLYN
January,Monday,Based on Self Initiated,POF,SGT,Housing,1,CPW,4,Y,N,(null),N,(null),Y,Y,N,N,N,(null),MALE,BLACK,5.6,150,THN,BRO,BLK,BROOKLYN
January,Monday,Based on Self Initiated,POF,SGT,Housing,1,CPW,4,Y,N,(null),N,(null),Y,Y,N,N,N,(null),MALE,BLACK,5.4,160,THN,BRO,BLK,BROOKLYN
January,Monday,Based on Radio Run,POM,SGT,PSB,1,BURGLARY,5,N,N,(null),N,(null),Y,N,N,N,N,60,MALE,BLACK,6.1,160,THN,BRO,XXX,BROOKLYN
January,Monday,Based on Radio Run,POM,LT,PSB,1,PETIT LARCENY,15,Y,N,(null),N,(null),Y,N,N,N,N,26,MALE,BLACK,6.7,160,THN,BRO,BLK,BROOKLYN
January,Monday,Based on Radio Run,POM,LT,PSB,1,PETIT LARCENY,15,Y,N,(null),N,(null),Y,N,N,N,N,25,MALE,WHITE,5.4,150,MED,GRY,BLN,BROOKLYN
January,Monday,Based on Radio Run,POM,SGT,(null),1,CRIMINAL POSSESSION OF MARIHUANA,5,Y,N,(null),N,(null),Y,Y,N,N,N,25,MALE,BLACK HISPANIC,5.5,260,HEA,BRO,BRO,QUEENS
January,Monday,Based on Radio Run,POM,SGT,(null),1,ASSAULT,20,Y,N,(null),N,(null),Y,Y,N,N,N,21,MALE,BLACK HISPANIC,5.11,170,THN,BRO,BLK,MANHATTAN
January,Monday,Based on Self Initiated,POM,SGT,(null),3,CPW,12,Y,N,(null),N,(null),N,Y,Y,Y,Y,18,MALE,BLACK,5.7,140,THN,BRO,BLK,BRONX
January,Monday,Based on Radio Run,POM,SGT,(null),0,ASSAULT,14,Y,N,(null),N,(null),Y,Y,Y,N,N,40,MALE,BLACK,6.3,200,MED,BRO,BLK,QUEENS
January,Tuesday,Based on Radio Run,POF,SGT,Housing,10,CRIMINAL TRESPASS,10,Y,N,(null),N,(null),Y,N,N,N,N,26,MALE,BLACK,5.8,160,MED,BRO,BLK,MANHATTAN
January,Tuesday,Based on C/W on Scene,POM,LT,PSB,2,GRAND LARCENY,4,N,N,(null),N,(null),Y,N,N,N,N,15,MALE,BLACK,(null),180,MED,BLK,BLK,MANHATTAN
January,Tuesday,Based on Self Initiated,POM,SGT,PSB,0,GRAND LARCENY AUTO,5,N,N,(null),N,(null),Y,N,N,N,N,37,MALE,WHITE,5.9,150,THN,BRO,BLK,MANHATTAN
January,Tuesday,Based on Radio Run,POM,SGT,PSB,1,ASSAULT,10,N,N,(null),N,(null),Y,N,N,N,N,55,MALE,BLACK,5.11,175,MED,BRO,XXX,MANHATTAN
January,Tuesday,Based on Radio Run,POM,SGT,Housing,1,OTHER,3,N,N,(null),N,(null),Y,Y,N,N,N,38,MALE,WHITE,5.9,175,MED,BRO,XXX,BRONX
